longitude,latitude,no,no2,o3,co,so2,pm2_5,pm10,ch4,time
74.4,32.4,0.33354297,6.610152,130.60861,512.9788,5.057053,86.39947,141.11305,1264.388,2019-09-15 12:00:00
74.4,32.4,0.28570497,57.345036,47.72761,1389.7047,29.736713,128.4185,198.55263,1274.1436,2019-09-15 15:00:00
74.4,32.4,0.17491856,31.650377,50.66779,1168.4481,13.110537,117.37349,177.89915,1271.785,2019-09-15 21:00:00
74.4,32.4,0.17819133,35.68361,57.86741,1179.7314,16.728956,114.75633,173.89441,1271.5444,2019-09-15 18:00:00
74.4,32.4,0.34719107,8.182748,116.59744,428.78238,7.6259604,65.64822,113.02469,1264.1017,2019-09-16 12:00:00
74.4,32.4,0.22665603,36.135113,54.883728,928.92554,18.43664,84.62229,133.37737,1272.0516,2019-09-16 15:00:00
74.4,32.4,0.21474876,34.17542,50.437267,955.31866,15.202875,77.78584,122.32211,1271.6879,2019-09-16 18:00:00
74.4,32.4,0.26934117,34.70446,41.113594,1002.6715,14.39513,77.487465,125.38543,1272.3191,2019-09-16 21:00:00
74.4,32.4,0.12603608,21.81208,65.18735,910.7433,6.5076394,99.43724,155.48895,1269.384,2019-09-16 00:00:00
74.4,32.4,1.0820998,12.703221,97.66793,706.9644,5.8420854,96.04213,158.1275,1267.2175,2019-09-16 03:00:00
74.4,32.4,0.24293278,2.8672407,151.36241,505.58188,4.4924545,98.02208,161.75539,1262.9481,2019-09-16 06:00:00
74.4,32.4,0.21885711,2.507025,164.9788,487.56476,5.253685,94.19115,154.98204,1262.1741,2019-09-16 09:00:00
74.4,32.4,0.2444125,2.4894428,150.70561,398.82324,3.417736,72.204185,129.48041,1264.0636,2019-09-17 09:00:00
74.4,32.4,13.095218,74.430595,1.7167367,2015.352,35.218098,121.753525,189.47218,1274.378,2019-09-17 21:00:00
74.4,32.4,1.404571,47.430622,15.459103,1279.2007,18.51645,89.66018,148.7858,1273.5994,2019-09-17 00:00:00
