longitude,latitude,no,no2,o3,co,so2,pm2_5,pm10,ch4,time
74.4,31.6,76.48467,87.43308,0.09151416,3041.6133,137.30551,102.85427,148.2075,1270.9303,2019-09-21 21:00:00
74.4,31.6,0.8622329,6.825675,154.22066,426.39893,11.4357195,50.66622,78.37272,1256.3585,2019-09-22 06:00:00
74.4,31.6,5.341353,66.79727,28.874784,1292.8773,57.88217,78.79061,116.94532,1266.2567,2019-09-22 18:00:00
74.4,31.6,151.81595,93.86541,1.1825926,4858.1484,187.48431,175.43399,252.00557,1272.7303,2019-09-22 00:00:00
74.4,31.6,4.8066397,33.936543,78.44928,897.2034,28.949022,63.348446,94.5109,1261.4375,2019-09-22 03:00:00
74.4,31.6,0.62812614,5.1706796,156.87137,356.56592,9.268038,38.88937,60.61292,1254.1045,2019-09-22 09:00:00
74.4,31.6,0.54049283,11.431972,132.31554,416.77005,13.882642,39.39602,60.812057,1254.8984,2019-09-22 12:00:00
74.4,31.6,1.3023496,53.794273,53.82797,1007.4827,46.71663,60.4579,89.37838,1263.641,2019-09-22 15:00:00
74.4,31.6,12.785837,64.50553,22.155993,1453.539,61.51702,92.082855,137.47179,1267.7251,2019-09-22 21:00:00
74.4,31.6,0.5143107,5.6392365,179.57909,407.03214,14.158655,49.814896,74.5028,1251.3224,2019-09-23 09:00:00
74.4,31.6,15.217359,77.98098,17.044569,1763.5211,75.36428,82.60487,119.517296,1268.4812,2019-09-23 21:00:00
74.4,31.6,12.473742,62.02177,16.805529,1433.8688,62.832546,90.81937,136.20474,1268.1603,2019-09-23 00:00:00
74.4,31.6,3.8583748,27.392248,84.86696,836.8394,36.68165,73.24938,112.10414,1262.4247,2019-09-23 03:00:00
74.4,31.6,0.69297206,6.5530367,164.38994,449.05038,17.116394,52.672287,79.86955,1252.8457,2019-09-23 06:00:00
74.4,31.6,0.3927312,11.17593,164.56026,471.1071,17.79157,51.144253,76.21854,1252.4768,2019-09-23 12:00:00
