    Day Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec             
   20   13.0   24.2   34.2   40.5   42.8   34.2   37.5   35.0   35.5   32.0   25.5   21.0
   21   12.5   24.7   34.5   38.8   42.0   35.5   34.0   33.5   34.0   27.5   25.5   20.6
   22   13.4   25.4   34.5   36.5   42.0   28.5   28.5   35.2   33.5   30.6   26.2   18.0
   23   12.7   24.0   34.2   35.5   41.0   33.5   34.0   36.0   35.0   30.6   26.0   15.0
   24   13.7   23.0   34.3   36.8   34.2   36.0   31.5   35.5   31.5   31.5   26.5   12.8
   25   13.5   23.6   34.8   38.0   31.8   38.0   34.8   33.5   28.0   31.0   27.0   13.0
   26   14.0   24.0   33.7   38.5   36.3   39.3   33.6   33.2   30.2   31.5   26.5   13.5
   27   16.6   19.0   35.2   39.5   38.2   39.2   34.0   34.5   31.8   32.2   25.5   15.0
   28   18.8   22.2   36.3   41.3   40.5   39.0   34.5   34.5   32.5   31.0   24.5   15.0
   29   19.8  ***     36.2   42.2   40.4   41.8   32.2   35.5   33.5   32.0   24.5   19.5
   30   20.0  ***     37.0   42.5   40.0   40.8   32.0   35.0   34.0   31.5   24.4   16.0
   31   22.0  ***     36.2  ***     36.8  ***     34.0   34.8  ***     31.5  ***     18.5
AVE.    16.0   21.7   31.1   38.9   40.3   40.1   34.4   34.5   34.2   32.4   26.7   21.2
Year : 2023          Temperature, daily maximum ( C)              
    1   20.5   20.0   23.5   22.2   31.5   25.4   34.8   35.7   35.9   33.5   29.6   21.5
    2   19.0   22.5   26.0   22.0   27.0   29.8   36.2   36.4   36.6   34.6   30.2   23.5
    3   17.0   23.6   27.8   26.2   27.6   31.8   38.8   37.4   36.6   34.6   29.5   25.0
    4   14.0   25.2   27.0   23.7   30.3   35.5   39.0   36.5   36.2   33.6   28.6   25.0
    5   15.0   25.8   28.5   29.0   33.5   38.2   36.1   37.5   36.5   34.5   29.5   23.5
    6   13.0   25.5   28.5   30.0   32.8   38.0   28.5   36.5   36.1   35.0   29.0   23.5
    7   11.8   24.6   29.5   30.6   35.0   38.2   30.6   36.8   37.0   35.5   28.5   24.5
    8   12.0   23.6   29.5   32.0   34.2   34.0   33.5   35.5   38.0   35.0   27.3   24.6
    9   16.0   23.5   30.2   33.0   33.9   38.8   27.0   36.7   37.0   34.8   28.0   24.7
   10   16.8   21.3   30.5   33.3   34.7   40.3   30.3   35.8   35.7   34.0   28.2   22.5
   11   15.8   25.0   30.5   35.2   36.5   41.0   33.2   36.3   33.5   30.0   20.5   23.5
   12   14.5   23.0   31.5   35.4   39.2   36.3   35.7   37.0   35.8   32.3   25.5   22.2
   13   17.5   21.2   31.0   36.5   40.3   38.8   36.2   37.5   36.0   33.5   26.0   21.0
   14   14.0   22.4   31.5   38.0   41.0   40.3   35.1   37.0   36.5   33.4   27.0   21.5
   15   17.5   25.5   31.5   39.0   38.6   38.6   35.0   35.5   35.8   29.5   27.3   19.4
   16   18.0   27.6   31.6   39.2   40.3   31.6   34.8   35.3   35.5   29.0   27.0   21.8
   17   19.0   29.4   31.8   39.0   39.0   36.7   32.2   37.2   35.5   22.5   27.4   19.0
   18   19.0   27.4   21.3   39.0   40.0   38.2   35.8   37.1   33.5   24.5   27.8   20.5
   19   18.5   28.5   24.0   35.0   34.2   39.2   36.2   37.5   30.5   26.5   27.0   22.0
   20   20.5   28.0   25.5   31.8   37.5   38.6   34.0   35.5   27.2   28.5   27.5   21.8
   21   15.2   27.5   25.0   32.2   40.6   40.1   36.6   36.5   34.5   29.0   26.0   23.0
   22   19.0   28.0   25.3   32.2   43.2   39.5   32.6   38.0   35.0   29.8   26.6   21.5
   23   19.5   27.5   26.5   31.0   42.6   41.2   29.0   38.5   34.0   29.8   26.0   19.5
   24   19.5   28.6   27.5   33.5   41.7   41.5   36.0   36.6   30.3   29.5   24.0   23.0
   25   18.2   29.5   23.5   35.4   36.2   41.6   35.0   35.8   31.5   30.0   24.5   20.5
   26   17.0   29.0   23.8   35.3   30.3   40.0   34.2   35.0   32.0   30.7   24.2   22.0
   27   18.6   28.8   25.5   36.3   32.6   30.8   33.8   34.5   33.0   32.0   23.5   21.5
   28   20.5   29.5   28.0   33.5   33.6   35.2   33.0   35.0   34.0   30.8    0.0   19.8
   29   21.6  ***     29.6   35.5   37.5   35.8   34.8   34.5   35.0   30.0   25.0   19.5
   30   18.5  ***     30.0   36.0   33.1   35.0   29.0   35.1   34.5   30.0   26.0   14.6
   31   18.5  ***     29.8  ***     33.8  ***     34.0   35.9  ***     29.0  ***     15.0
AVE.    17.3   25.8   27.9   33.0   35.9   37.0   33.9   36.3   34.6   31.1   25.9   21.6
Station : LAHORE-PBO      
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
Year : 2022          Temperature, daily minimum ( C)              
    1    5.5    8.7   12.3   20.2   27.0   27.0   25.7   24.2   29.0   25.2   18.8   10.2
    2    5.3    8.3   13.7   20.0   26.8   28.0   25.5   26.8   28.6   25.2   18.0   10.8
    3    6.7    9.7   14.7   20.6   28.6   27.8   28.4   29.3   27.4   24.6   18.4   11.5
    4    9.7    8.0   11.6   22.5   26.5   27.6   28.0   27.0   27.2   24.5   18.3   10.6
    5   10.0    6.7   12.7   21.6   24.2   27.5   30.0   28.0   27.8   25.0   18.0   10.2
    6   11.4    6.5   14.2   22.0   25.0   29.5   30.0   24.8   26.2   24.4   18.2   10.8
